index,name,ELO,fGoals,aGoals,num_matches,fGoals_p_match,aGoals_p_match,team_code
Tanzania,Tanzania,1061.5030060223635,632,843,561,1.1265597147950088,1.5026737967914439,274
Iran,Iran,1489.258567888566,972,418,521,1.8656429942418427,0.8023032629558541,128
Djibouti,Djibouti,685.429777198721,68,369,98,0.6938775510204082,3.7653061224489797,78
DR Congo,DR Congo,1184.252051641202,720,595,481,1.496881496881497,1.237006237006237,75
Vietnam,Vietnam,1181.651165080965,366,318,219,1.6712328767123288,1.452054794520548,298
Macau,Macau,733.4985798067827,108,385,128,0.84375,3.0078125,158
Ethiopia,Ethiopia,1071.9471838645145,551,576,397,1.3879093198992443,1.45088161209068,90
Puerto Rico,Puerto Rico,991.9863584764886,140,276,125,1.12,2.208,218
Réunion,Réunion,1202.626789789781,136,192,81,1.6790123456790123,2.3703703703703702,228
Sierra Leone,Sierra Leone,1064.2727136955261,264,380,277,0.9530685920577617,1.371841155234657,246
Zanzibar,Zanzibar,1097.6221345513284,188,435,205,0.9170731707317074,2.1219512195121952,313
South Korea,South Korea,1541.767591092271,1580,812,903,1.7497231450719823,0.8992248062015504,256
Ghana,Ghana,1254.358762326403,1011,653,635,1.5921259842519686,1.0283464566929135,105
South Africa,South Africa,1232.1998095993374,570,420,429,1.3286713286713288,0.9790209790209791,255
New Caledonia,New Caledonia,1217.855133257063,627,342,237,2.6455696202531644,1.4430379746835442,188
Fiji,Fiji,1205.9328969824714,534,376,229,2.331877729257642,1.6419213973799127,94
Nigeria,Nigeria,1316.4397237794471,925,613,615,1.5040650406504066,0.9967479674796748,192
Myanmar,Myanmar,896.3893726740005,603,584,374,1.6122994652406417,1.5614973262032086,184
Sri Lanka,Sri Lanka,682.5960363217864,215,524,215,1.0,2.437209302325581,260
Tahiti,Tahiti,1169.3997771159648,566,355,212,2.669811320754717,1.6745283018867925,270
Gambia,Gambia,1144.4931516457693,217,320,234,0.9273504273504274,1.3675213675213675,101
Hong Kong,Hong Kong,1030.0338955072314,553,640,388,1.425257731958763,1.6494845360824741,123
Singapore,Singapore,1009.2811398609175,757,1073,575,1.3165217391304347,1.866086956521739,248
Malaysia,Malaysia,1087.4593803886085,1067,998,675,1.5807407407407408,1.4785185185185186,162
Indonesia,Indonesia,1053.1624273257435,971,983,581,1.6712564543889845,1.6919104991394147,127
Guinea-Bissau,Guinea-Bissau,1066.6163526639339,165,253,161,1.0248447204968945,1.5714285714285714,117
German DR,German DR,1342.8001276225293,507,362,298,1.7013422818791946,1.2147651006711409,103
Vanuatu,Vanuatu,1186.8730029920941,344,393,177,1.9435028248587571,2.2203389830508473,295
Kernow,Kernow,1061.9042912609652,31,19,11,2.8181818181818183,1.7272727272727273,143
Saarland,Saarland,984.4563556542533,11,27,9,1.2222222222222223,3.0,230
Cambodia,Cambodia,786.5952564165295,262,628,240,1.0916666666666666,2.6166666666666667,46
Lebanon,Lebanon,1140.6240050908693,331,451,293,1.129692832764505,1.5392491467576792,151
Pakistan,Pakistan,800.2987445823306,182,451,192,0.9479166666666666,2.3489583333333335,205
Vietnam Republic,Vietnam Republic,978.8832058017542,288,264,157,1.8343949044585988,1.6815286624203822,299
North Korea,North Korea,1230.0073684962997,542,380,340,1.5941176470588236,1.1176470588235294,194
Togo,Togo,1090.4201243778348,451,576,417,1.0815347721822541,1.381294964028777,278
Sudan,Sudan,1052.5439738478187,486,589,436,1.114678899082569,1.3509174311926606,261
Malta,Malta,943.5343342460096,275,966,425,0.6470588235294118,2.2729411764705882,165
Syria,Syria,1243.5182480223095,625,578,434,1.4400921658986174,1.3317972350230414,266
Tunisia,Tunisia,1418.5830936757104,898,652,622,1.4437299035369775,1.0482315112540193,281
Malawi,Malawi,1064.3996195022569,704,766,595,1.1831932773109244,1.2873949579831934,161
Morocco,Morocco,1542.5621162458347,834,483,575,1.4504347826086956,0.84,182
Benin,Benin,1133.795335358229,292,497,278,1.0503597122302157,1.7877697841726619,30
Cameroon,Cameroon,1381.4300235166772,791,598,574,1.3780487804878048,1.0418118466898956,47
Central African Republic,Central African Republic,993.9838888675813,105,204,104,1.0096153846153846,1.9615384615384615,54
Gabon,Gabon,1184.5348989258237,420,421,368,1.141304347826087,1.1440217391304348,99
Ivory Coast,Ivory Coast,1323.5500831628492,941,605,587,1.6030664395229983,1.030664395229983,135
Congo,Congo,1073.1236075682161,484,542,386,1.2538860103626943,1.4041450777202074,63
Mali,Mali,1313.270820620887,677,598,528,1.2821969696969697,1.1325757575757576,164
North Vietnam,North Vietnam,1029.7997622298335,50,53,24,2.0833333333333335,2.2083333333333335,196
Mongolia,Mongolia,834.2263619527072,100,221,81,1.2345679012345678,2.728395061728395,179
Taiwan,Taiwan,839.8353006599731,229,450,174,1.3160919540229885,2.586206896551724,271
Cyprus,Cyprus,1059.3183056738826,335,852,390,0.8589743589743589,2.1846153846153844,72
Iraq,Iraq,1345.6130456110757,897,543,575,1.56,0.9443478260869566,129
Saint Lucia,Saint Lucia,974.304651593319,290,383,202,1.4356435643564356,1.896039603960396,233
Grenada,Grenada,961.8737757604565,379,415,225,1.6844444444444444,1.8444444444444446,111
Thailand,Thailand,1149.1190547759031,1016,1055,673,1.5096582466567607,1.5676077265973254,275
Senegal,Senegal,1485.8435358799077,774,561,581,1.3321858864027538,0.9655765920826161,242
Libya,Libya,1116.1586600235266,469,444,363,1.2920110192837466,1.2231404958677685,154
Guinea,Guinea,1113.9297361077295,692,639,511,1.3542074363992171,1.2504892367906066,116
Algeria,Algeria,1384.9452965948485,801,564,545,1.4697247706422019,1.034862385321101,4
Kuwait,Kuwait,1081.6951238186327,907,659,592,1.5320945945945945,1.1131756756756757,146
Jordan,Jordan,1317.3336014690146,522,466,425,1.228235294117647,1.096470588235294,139
Solomon Islands,Solomon Islands,1250.9045701103953,395,358,177,2.231638418079096,2.022598870056497,252
Liberia,Liberia,1009.4471120063743,231,386,268,0.8619402985074627,1.4402985074626866,153
Laos,Laos,725.7236386009495,175,522,167,1.0479041916167664,3.125748502994012,149
